Participant,C,P,Piece,Condition,Moving,Dynamic,Alive,Metallic,Spiky,Travelling,Mechanical,Moist,Chaotic,Threatening,Warping,Chronological,Aggressive,Unfinished,Near,Textured,Engulfing,Static,Violent,Detailed,Hollow,Scratching,Light,Expanding
41,2,P,Rough,Object,24,33,20,13,50,43,31,54,91,34,41,18,42,72,36,74,61,56,49,73,17,62,21,15
42,2,A,Tree,Combo,15,4,41,4,43,14,12,1,80,81,93,12,19,67,6,91,68,85,47,27,55,81,12,23
42,2,G,Plate,Object,12,2,2,57,4,24,5,5,4,4,4,22,6,45,4,5,17,94,11,68,93,7,89,51
42,2,J,Smooth,Combo,5,5,36,5,5,7,5,73,4,15,4,5,27,82,4,89,16,72,14,4,84,4,7,23
42,2,P,Rough,Object,5,2,10,4,69,3,3,91,4,4,45,4,4,51,11,84,4,95,4,76,44,80,4,12
43,2,A,Tree,Combo,43,72,9,5,71,47,8,29,9,10,16,16,14,37,42,63,58,45,20,33,11,45,17,16
43,2,G,Plate,Object,3,52,52,25,5,76,50,8,65,9,10,52,10,70,9,11,14,70,13,83,47,14,78,17
43,2,J,Smooth,Combo,20,74,85,11,10,30,20,78,20,49,18,15,51,5,14,50,14,51,51,49,12,13,27,84
43,2,P,Rough,Object,75,77,6,7,50,54,56,78,78,68,14,15,62,12,10,69,74,45,68,75,39,65,66,29
45,4,B,Tree,Object,0,33,12,0,0,0,0,6,5,0,0,0,0,9,20,100,17,100,0,100,0,45,0,0
45,4,F,Plate,Combo,0,59,0,50,0,50,12,0,50,0,0,46,12,0,100,56,0,100,12,100,50,12,49,0
45,4,J,Smooth,Combo,0,13,0,0,0,0,0,11,8,0,13,0,0,100,100,100,0,100,0,0,100,70,0,0
45,4,P,Rough,Object,0,22,0,31,0,0,28,70,0,16,0,0,100,100,100,11,100,19,0,0,0,20,15,5
46,4,B,Tree,Object,11,52,4,4,21,35,3,3,3,4,14,5,5,24,5,35,6,6,7,6,22,45,3,3
46,4,F,Plate,Combo,31,30,42,51,2,89,88,21,65,6,5,21,7,36,6,62,34,5,5,73,59,8,7,74
46,4,J,Smooth,Combo,5,12,24,5,5,22,4,4,17,11,13,29,29,16,6,7,9,6,4,5,35,37,3,12
46,4,P,Rough,Object,2,32,46,3,40,4,38,3,58,45,3,59,28,13,9,44,3,4,38,49,2,58,4,18
47,4,B,Tree,Object,66,69,72,1,35,24,3,3,3,3,2,5,3,78,67,89,65,5,1,25,6,72,50,8
47,4,F,Plate,Combo,69,76,76,30,2,91,65,1,59,2,33,50,2,11,1,6,62,13,1,82,2,12,3,4
47,4,J,Smooth,Combo,3,2,3,85,9,3,53,1,12,29,45,4,20,78,3,72,2,3,3,19,4,12,3,3
47,4,P,Rough,Object,2,2,2,23,79,3,42,54,87,63,24,3,36,95,2,84,4,3,20,1,2,75,2,2
48,1,A,Tree,Combo,62,1,68,1,2,76,4,4,83,87,93,1,26,48,7,81,89,7,67,27,55,7,7,97
48,1,F,Plate,Combo,2,3,4,24,4,55,35,3,75,4,57,2,2,95,3,3,2,3,2,97,3,2,3,2
48,1,N,Smooth,Object,1,3,3,3,3,71,4,51,4,4,5,4,5,4,4,81,4,4,3,3,77,2,4,94
48,1,P,Rough,Object,2,2,2,2,1,78,3,2,97,3,2,3,3,5,5,85,4,3,4,4,3,5,4,5
49,1,A,Tree,Combo,2,20,17,42,24,13,26,33,8,15,15,15,9,33,18,73,44,60,22,15,18,10,25,17
49,1,F,Plate,Combo,11,32,21,54,22,41,23,16,37,19,14,28,20,13,31,20,38,62,20,75,69,56,45,25
49,1,N,Smooth,Object,15,19,12,13,12,20,14,46,20,13,35,24,14,53,59,48,49,65,19,11,16,10,34,25
49,1,P,Rough,Object,11,42,29,35,70,15,27,58,85,44,22,34,52,21,32,71,84,60,69,50,14,44,20,41
50,1,A,Tree,Combo,16,40,35,36,33,66,2,16,0,2,10,19,2,36,64,88,75,89,6,42,25,52,40,27
50,1,F,Plate,Combo,4,41,54,53,6,80,77,3,30,13,55,10,3,4,18,6,48,56,19,92,29,58,40,20
50,1,N,Smooth,Object,2,20,7,5,7,13,10,47,14,5,15,5,6,59,28,47,31,47,4,9,35,20,8,27
50,1,P,Rough,Object,4,90,68,20,38,56,13,71,92,7,69,7,5,83,41,93,65,35,5,58,39,69,49,72
51,1,A,Tree,Combo,0,8,15,0,0,0,0,15,5,0,4,1,0,45,55,93,0,100,0,31,8,55,1,1
51,1,F,Plate,Combo,1,51,1,30,2,74,1,0,29,0,0,7,1,1,62,11,30,100,0,100,6,0,49,0
51,1,N,Smooth,Object,0,10,0,0,0,0,0,24,0,0,0,0,23,80,70,12,0,100,10,3,46,0,0,28
51,1,P,Rough,Object,0,37,62,0,62,0,0,44,85,0,30,0,0,47,25,100,28,100,0,66,1,79,0,0
52,1,A,Tree,Combo,2,3,3,3,3,1,3,3,3,2,6,3,2,11,55,70,3,85,3,22,3,58,4,4
52,1,F,Plate,Combo,2,7,2,5,3,3,3,3,3,3,3,4,3,7,6,2,2,28,4,61,9,4,64,3
52,1,N,Smooth,Object,2,32,6,3,4,3,4,17,44,3,3,3,3,57,9,4,3,35,3,2,4,4,3,3
52,1,P,Rough,Object,2,22,10,3,17,7,3,22,67,14,9,3,12,41,6,33,7,35,42,47,3,51,6,3
53,1,A,Tree,Combo,7,0,1,14,0,0,1,1,0,0,0,0,0,99,75,83,50,100,1,1,2,28,1,1
53,1,F,Plate,Combo,0,0,2,100,19,0,10,0,1,15,55,0,0,100,27,0,0,100,0,100,63,99,43,1
53,1,N,Smooth,Object,19,63,7,0,0,30,0,79,0,0,100,0,0,100,100,0,44,0,0,0,0,0,0,100
53,1,P,Rough,Object,85,84,76,48,100,1,0,61,100,97,70,0,99,98,70,100,99,0,100,100,1,100,0,100
54,6,B,Tree,Object,12,29,11,12,49,5,5,4,3,25,12,14,35,2,18,70,36,94,37,68,24,68,45,5
54,6,G,Plate,Object,9,61,27,37,6,19,44,2,55,18,13,8,7,37,5,50,30,69,12,62,16,12,12,10
54,6,J,Smooth,Combo,12,64,80,12,7,7,73,4,44,63,20,7,47,61,23,4,16,40,57,14,5,8,2,15
54,6,M,Rough,Combo,8,48,40,5,74,7,70,7,82,70,46,17,68,63,29,60,15,54,64,35,11,9,14,9
55,6,B,Tree,Object,60,15,66,12,5,35,12,19,55,46,55,28,64,70,48,62,29,74,35,59,30,12,37,40
55,6,G,Plate,Object,20,52,25,28,8,12,44,15,49,27,51,15,27,9,45,73,35,56,40,65,42,49,37,56
55,6,J,Smooth,Combo,21,35,40,29,16,54,46,39,12,35,61,54,42,6,26,45,48,62,17,40,18,10,30,23
55,6,M,Rough,Combo,48,64,12,40,44,49,57,34,62,53,57,34,61,66,20,59,28,39,62,55,35,47,22,50
57,6,B,Tree,Object,3,3,3,4,3,2,3,2,4,3,4,4,3,4,1,97,4,98,1,96,1,57,41,12
57,6,G,Plate,Object,20,42,1,89,1,65,3,0,1,1,3,1,2,99,29,0,0,99,2,99,29,21,21,12
